year,tournament_winner,golden_boot,golden_boot_team,young_player,young_player_team,best_player,best_player_team,golden_glove,golden_glove_team
1930,Uruguay,Guillermo Stábile,Argentina,,,,,,
1934,Italy,Oldřich Nejedlý,Czechoslovakia,,,,,,
1938,Italy,Leônidas,Brazil,,,,,,
1950,Uruguay,Ademir,Brazil,,,,,,
1954,West Germany,Sándor Kocsis,Hungary,,,,,,
1958,Brazil,Just Fontaine,France,Pelé,Brazil,,,,
1962,Brazil,Flórián Albert,Hungary,Flórián Albert,Hungary,,,,
1966,England,Eusébio,Portugal,Franz Beckenbauer,West Germany,,,,
1970,Brazil,Gerd Müller,West Germany,Teófilo Cubillas,Peru,,,,
1974,West Germany,Grzegorz Lato,Poland,Władysław Żmuda,Poland,,,,
1978,Argentina,Mario Kempes,Argentina,Antonio Cabrini,Italy,Mario Kempes,Argentina,,
1982,Italy,Paolo Rossi,Italy,Manuel Amoros,France,Paolo Rossi,Italy,,
1986,Argentina,Gary Lineker,England,Enzo Scifo,Belgium,Diego Maradona,Argentina,,
1990,West Germany,Salvatore Schillaci,Italy,Robert Prosinečki,Yugoslavia,Salvatore Schillaci,Italy,,
1991,United States,Michelle Akers,United States,,,Carin Jennings-Gabarra,United States,,
1994,Brazil,Oleg Salenko,Russia,Marc Overmars,Netherlands,Romário,Brazil,Michel Preud'homme,Belgium
1995,Norway,Ann Kristin Aarønes,Norway,,,Hege Riise,Norway,,
1998,France,Davor Šuker,Croatia,Michael Owen,England,Ronaldo,Brazil,Fabien Barthez,France
1999,United States,Sissi,Brazil,,,Wen Sun,China,Hong Gao,China
2002,Brazil,Ronaldo,Brazil,Landon Donovan,United States,Oliver Kahn,Germany,Oliver Kahn,Germany
2003,Germany,Birgit Prinz,Germany,,,Birgit Prinz,Germany,Silke Rottenberg,Germany
2006,Italy,Miroslav Klose,Germany,Lukas Podolski,Germany,Zinedine Zidane,France,Gianluigi Buffon,Italy
2007,Germany,Marta,Brazil,,,Marta,Brazil,Nadine Angerer,Germany
2010,Spain,Thomas Müller,Germany,Thomas Müller,Germany,Diego Forlán,Uruguay,Iker Casillas,Spain
2011,Japan,Homare Sawa,Japan,Caitlin Foord,Australia,Homare Sawa,Japan,Hope Solo,United States
2014,Germany,James Rodríguez,Colombia,Paul Pogba,France,Lionel Messi,Argentina,Manuel Neuer,Germany
2015,United States,Célia Šašić,Germany,Kadeisha Buchanan,Canada,Carli Lloyd,United States,Hope Solo,United States
2018,France,Harry Kane,England,Kylian Mbappé,France,Luka Modrić,Croatia,Thibaut Courtois,Belgium
2019,United States,Megan Rapinoe,United States,Giulia Gwinn,Germany,Megan Rapinoe,United States,Sari van Veenendaal,Netherlands
2022,Argentina,Kylian Mbappé,France,Enzo Fernández,Argentina,Lionel Messi,Argentina,Emiliano Martínez,Argentina
